global_idx	id	gen_idx
0	1	0
1	1	1
3	1	3
4	1	4
5	1	5
6	1	6
7	1	7
9	2	1
14	2	6
21	2	13
22	2	14
23	2	15
25	3	1
26	3	2
30	3	6
32	3	8
34	3	10
40	3	16
41	3	17
47	4	5
50	4	8
54	4	12
58	4	16
62	4	20
63	5	0
64	5	1
65	5	2
68	5	5
70	5	7
71	5	8
72	5	9
74	5	11
75	5	12
76	5	13
77	5	14
78	5	15
79	5	16
80	5	17
81	6	0
83	6	2
88	6	7
89	6	8
91	6	10
94	7	0
95	7	1
96	7	2
97	7	3
98	7	4
99	7	5
101	7	7
102	7	8
103	7	9
104	7	10
106	7	12
107	7	13
110	7	16
111	7	17
113	8	1
116	8	4
117	8	5
119	8	7
125	8	13
126	8	14
132	8	20
133	8	21
136	9	2
137	9	3
138	9	4
139	9	5
142	10	2
144	10	4
146	10	6
147	10	7
153	10	13
161	11	5
162	11	6
163	11	7
170	11	14
171	11	15
178	12	6
179	12	7
186	12	14
187	12	15
188	12	16
189	12	17
190	13	0
191	13	1
194	13	4
195	13	5
198	13	8
199	14	0
200	14	1
202	14	3
203	14	4
207	14	8
209	14	10
211	14	12
212	14	13
214	15	1
220	15	7
222	15	9
224	15	11
225	15	12
233	15	20
236	15	23
239	16	2
240	16	3
242	16	5
245	16	8
246	16	9
256	17	9
258	17	11
259	18	0
268	18	9
273	18	14
274	18	15
275	18	16
278	19	2
280	19	4
281	19	5
282	19	6
309	21	1
317	21	9
319	21	11
333	22	13
345	23	10
347	23	12
350	23	15
351	24	0
352	24	1
358	24	7
361	24	10
362	24	11
363	24	12
364	24	13
365	24	14
366	24	15
367	24	16
372	25	4
376	25	8
385	25	17
386	25	18
387	25	19
392	26	4
399	26	11
404	27	4
412	27	12
417	27	17
418	27	18
419	27	19
440	29	4
443	29	7
446	29	10
449	29	13
451	29	15
452	29	16
454	30	1
460	30	7
463	30	10
464	30	11
465	30	12
468	31	2
469	31	3
471	31	5
472	31	6
474	31	8
475	31	9
477	31	11
478	31	12
487	32	8
501	32	22
502	32	23
503	32	24
505	32	26
506	32	27
514	33	7
515	33	8
516	33	9
520	33	13
522	33	15
528	33	21
529	33	22
532	34	2
533	34	3
534	34	4
535	34	5
537	34	7
538	34	8
547	35	8
548	35	9
549	35	10
550	35	11
551	36	0
552	36	1
553	36	2
554	36	3
555	36	4
556	36	5
557	36	6
558	36	7
559	37	0
564	37	5
565	37	6
573	37	14
579	37	20
582	37	23
584	37	25
585	37	26
586	38	0
588	38	2
591	38	5
601	38	15
605	38	19
608	38	22
612	39	3
617	39	8
622	39	13
625	39	16
626	39	17
627	39	18
628	40	0
641	40	13
642	40	14
645	41	2
646	41	3
650	41	7
655	41	12
658	41	15
659	41	16
671	42	11
672	42	12
673	42	13
686	43	12
687	43	13
690	43	16
694	44	3
695	44	4
696	44	5
703	44	12
704	44	13
705	44	14
711	44	20
713	44	22
714	44	23
716	45	1
717	45	2
719	45	4
722	45	7
723	45	8
724	45	9
726	45	11
730	46	3
740	46	13
741	46	14
744	47	2
745	47	3
746	47	4
747	47	5
749	47	7
751	47	9
752	47	10
753	47	11
758	48	4
759	48	5
760	48	6
768	48	14
769	48	15
775	49	5
777	49	7
784	50	6
785	50	7
788	50	10
789	50	11
791	50	13
792	50	14
794	50	16
795	50	17
796	50	18
797	50	19
799	50	21
