global_idx	id	gen_idx
0	1	0
1	1	1
3	1	3
4	1	4
5	1	5
6	1	6
7	1	7
9	2	1
16	2	8
18	2	10
22	2	14
23	2	15
24	3	0
25	3	1
26	3	2
27	3	3
30	3	6
31	3	7
38	3	14
39	3	15
40	3	16
41	3	17
47	4	5
55	4	13
58	4	16
62	4	20
64	5	1
68	5	5
69	5	6
70	5	7
71	5	8
72	5	9
74	5	11
75	5	12
76	5	13
78	5	15
79	5	16
80	5	17
81	6	0
83	6	2
85	6	4
86	6	5
89	6	8
90	6	9
95	7	1
96	7	2
97	7	3
98	7	4
99	7	5
101	7	7
102	7	8
103	7	9
104	7	10
105	7	11
107	7	13
109	7	15
110	7	16
111	7	17
113	8	1
114	8	2
117	8	5
118	8	6
127	8	15
132	8	20
133	8	21
136	9	2
137	9	3
138	9	4
139	9	5
141	10	1
145	10	5
146	10	6
147	10	7
149	10	9
150	10	10
153	10	13
164	11	8
168	11	12
169	11	13
170	11	14
171	11	15
179	12	7
180	12	8
185	12	13
186	12	14
187	12	15
188	12	16
189	12	17
190	13	0
191	13	1
194	13	4
197	13	7
198	13	8
199	14	0
200	14	1
201	14	2
202	14	3
206	14	7
208	14	9
209	14	10
211	14	12
212	14	13
213	15	0
214	15	1
217	15	4
220	15	7
222	15	9
224	15	11
225	15	12
233	15	20
235	15	22
236	15	23
239	16	2
240	16	3
242	16	5
245	16	8
246	16	9
256	17	9
258	17	11
259	18	0
260	18	1
272	18	13
273	18	14
274	18	15
275	18	16
280	19	4
282	19	6
304	20	21
308	21	0
319	21	11
325	22	5
327	22	7
333	22	13
342	23	7
344	23	9
346	23	11
347	23	12
350	23	15
351	24	0
352	24	1
353	24	2
361	24	10
362	24	11
363	24	12
364	24	13
365	24	14
366	24	15
367	24	16
385	25	17
386	25	18
387	25	19
392	26	4
399	26	11
400	27	0
409	27	9
412	27	12
418	27	18
419	27	19
440	29	4
441	29	5
443	29	7
445	29	9
446	29	10
449	29	13
451	29	15
452	29	16
453	30	0
458	30	5
463	30	10
464	30	11
465	30	12
467	31	1
468	31	2
469	31	3
470	31	4
471	31	5
472	31	6
474	31	8
475	31	9
476	31	10
477	31	11
478	31	12
480	32	1
492	32	13
496	32	17
497	32	18
501	32	22
505	32	26
506	32	27
516	33	9
520	33	13
522	33	15
526	33	19
528	33	21
529	33	22
531	34	1
532	34	2
533	34	3
534	34	4
535	34	5
536	34	6
537	34	7
538	34	8
547	35	8
548	35	9
549	35	10
550	35	11
551	36	0
552	36	1
553	36	2
554	36	3
555	36	4
556	36	5
557	36	6
558	36	7
559	37	0
565	37	6
570	37	11
571	37	12
573	37	14
579	37	20
584	37	25
585	37	26
591	38	5
605	38	19
608	38	22
609	39	0
611	39	2
612	39	3
626	39	17
628	40	0
641	40	13
642	40	14
645	41	2
646	41	3
648	41	5
650	41	7
657	41	14
658	41	15
659	41	16
671	42	11
672	42	12
673	42	13
690	43	16
691	44	0
692	44	1
693	44	2
694	44	3
696	44	5
699	44	8
703	44	12
704	44	13
705	44	14
714	44	23
716	45	1
718	45	3
719	45	4
720	45	5
722	45	7
723	45	8
724	45	9
726	45	11
739	46	12
740	46	13
741	46	14
743	47	1
744	47	2
745	47	3
746	47	4
747	47	5
749	47	7
750	47	8
751	47	9
752	47	10
753	47	11
759	48	5
760	48	6
761	48	7
769	48	15
775	49	5
777	49	7
780	50	2
781	50	3
789	50	11
791	50	13
792	50	14
794	50	16
795	50	17
797	50	19
798	50	20
799	50	21
803	51	3
823	51	23
824	51	24
826	52	1
834	52	9
838	52	13
840	52	15
