global_idx	id	gen_idx
0	1	0
1	1	1
2	1	2
3	1	3
4	1	4
5	1	5
6	1	6
7	1	7
8	2	0
9	2	1
21	2	13
22	2	14
23	2	15
24	3	0
25	3	1
26	3	2
27	3	3
30	3	6
34	3	10
39	3	15
40	3	16
41	3	17
47	4	5
52	4	10
58	4	16
61	4	19
62	4	20
63	5	0
64	5	1
68	5	5
69	5	6
70	5	7
71	5	8
72	5	9
73	5	10
74	5	11
75	5	12
76	5	13
77	5	14
78	5	15
79	5	16
80	5	17
81	6	0
82	6	1
83	6	2
84	6	3
85	6	4
86	6	5
88	6	7
89	6	8
90	6	9
91	6	10
92	6	11
93	6	12
95	7	1
97	7	3
98	7	4
99	7	5
100	7	6
101	7	7
102	7	8
104	7	10
106	7	12
107	7	13
108	7	14
110	7	16
111	7	17
113	8	1
114	8	2
117	8	5
118	8	6
119	8	7
122	8	10
127	8	15
132	8	20
133	8	21
137	9	3
138	9	4
139	9	5
140	10	0
141	10	1
142	10	2
143	10	3
146	10	6
149	10	9
150	10	10
153	10	13
154	10	14
155	10	15
158	11	2
161	11	5
164	11	8
166	11	10
168	11	12
169	11	13
170	11	14
171	11	15
173	12	1
174	12	2
175	12	3
177	12	5
179	12	7
180	12	8
182	12	10
184	12	12
186	12	14
187	12	15
189	12	17
191	13	1
194	13	4
195	13	5
196	13	6
197	13	7
198	13	8
199	14	0
201	14	2
202	14	3
203	14	4
204	14	5
206	14	7
209	14	10
210	14	11
211	14	12
212	14	13
213	15	0
216	15	3
218	15	5
220	15	7
222	15	9
223	15	10
227	15	14
233	15	20
234	15	21
236	15	23
242	16	5
245	16	8
246	16	9
250	17	3
256	17	9
257	17	10
258	17	11
259	18	0
260	18	1
264	18	5
268	18	9
270	18	11
272	18	13
274	18	15
275	18	16
277	19	1
279	19	3
280	19	4
281	19	5
282	19	6
298	20	15
307	20	24
308	21	0
309	21	1
319	21	11
320	22	0
321	22	1
327	22	7
330	22	10
333	22	13
339	23	4
342	23	7
343	23	8
344	23	9
345	23	10
346	23	11
347	23	12
349	23	14
350	23	15
351	24	0
352	24	1
353	24	2
354	24	3
356	24	5
361	24	10
362	24	11
363	24	12
364	24	13
365	24	14
366	24	15
367	24	16
377	25	9
384	25	16
385	25	17
386	25	18
387	25	19
388	26	0
392	26	4
393	26	5
394	26	6
395	26	7
396	26	8
398	26	10
399	26	11
410	27	10
412	27	12
416	27	16
419	27	19
422	28	2
435	28	15
440	29	4
443	29	7
444	29	8
445	29	9
446	29	10
447	29	11
448	29	12
449	29	13
450	29	14
451	29	15
452	29	16
453	30	0
460	30	7
464	30	11
465	30	12
467	31	1
468	31	2
469	31	3
470	31	4
471	31	5
474	31	8
475	31	9
477	31	11
478	31	12
484	32	5
490	32	11
495	32	16
497	32	18
500	32	21
501	32	22
502	32	23
503	32	24
505	32	26
506	32	27
508	33	1
513	33	6
516	33	9
520	33	13
523	33	16
526	33	19
529	33	22
531	34	1
533	34	3
534	34	4
535	34	5
536	34	6
537	34	7
538	34	8
542	35	3
547	35	8
549	35	10
550	35	11
551	36	0
552	36	1
553	36	2
554	36	3
555	36	4
556	36	5
557	36	6
558	36	7
559	37	0
562	37	3
564	37	5
565	37	6
571	37	12
579	37	20
580	37	21
582	37	23
585	37	26
587	38	1
591	38	5
594	38	8
595	38	9
598	38	12
608	38	22
609	39	0
611	39	2
623	39	14
625	39	16
626	39	17
627	39	18
628	40	0
629	40	1
638	40	10
640	40	12
641	40	13
642	40	14
645	41	2
646	41	3
647	41	4
649	41	6
650	41	7
657	41	14
658	41	15
659	41	16
671	42	11
672	42	12
673	42	13
684	43	10
686	43	12
690	43	16
691	44	0
692	44	1
693	44	2
695	44	4
696	44	5
699	44	8
703	44	12
704	44	13
713	44	22
714	44	23
715	45	0
716	45	1
717	45	2
719	45	4
722	45	7
723	45	8
724	45	9
726	45	11
735	46	8
740	46	13
741	46	14
742	47	0
743	47	1
744	47	2
745	47	3
746	47	4
747	47	5
749	47	7
750	47	8
751	47	9
752	47	10
753	47	11
759	48	5
760	48	6
761	48	7
768	48	14
769	48	15
770	49	0
774	49	4
775	49	5
776	49	6
777	49	7
788	50	10
789	50	11
791	50	13
792	50	14
794	50	16
795	50	17
798	50	20
799	50	21
